arasında	из
için	в
içinde	в
için	для
olduğu	является
üzerinde	на
o	что
tarafından	от
bu	это
ile	с
ben	я
sen	вы
o	Это
veya	или
olmak	быть
Hangi	находятся
en	в
herşey	все
var	иметь
yeni	новый
Biz	мы
irade	будем
ev	Главная
bize	нас
hakkında	около
Eğer	если
sayfa	страница
benim	мой
vardır	имеет
arama	поиск
ücretsiz	свободно
fakat	но
bizim	наш
bir	один
diğer	Другие
yap	делать
bilgi	Информация
zaman	время
o	он
hangi	который
onların	их
haber	Новости
kullanım	использование
Orada	там
görmek	видеть
yani	так
kim	кто
ağ	Web
Ayrıca	также
almak	получить
pm	вечера
görünüm	Посмотреть
c	с
e	е
ilk	первый
olmuştur	было
olur	бы
idi	мы
s	s
sevmek	как
x	Икс
göre	чем
bulmak	найти
fiyat	цена
geri	назад
üst	Вверх
insanlar	люди
vardı	имел
liste	список
isim	имя
sadece	просто
yıl	год
gün	день
içine	в
iki	два
sağlık	здоровье
n	N
yeniden	ре
Kullanılmış	используемый
gitmek	идти
b	б
son	последний
Yapmak	делать
onları	их
meli	должен
ürün	продукт
sistem	система
posta	после
ona	ее
Kent	город
t	T
politika	политика
numara	номер
destek	поддержка
mesaj	сообщение
sonra	после
sonra	тогда
Ocak	январь
iyi	хорошо
d	d
nerede	где
bilgi	Информация
haklar	права
kitaplar	книги
yüksek	высокая
okul	школа
m	м
her	каждый
bağlantılar	связи
o	она
yıl	лет
sipariş	заказ
çok	очень
kitap	книга
ürün	Предметы
şirket	Компания
r	р
okumak	читать
grup	группа
seks	секс
çok	многие
kullanıcı	пользователь
de	де
set	задавать
genel	Генеральная
Araştırma	исследование
Üniversite	Университет
Ocak	январь
posta	почта
tam	полный
yorumlar	отзывы
program	программа
bilmek	знать
oyunlar	игры
yol	путь
günler	дней
p	п
Bölüm	часть
could	мог
harika	Великий
birleşmiş	единый
gerçek	реальный
f	е
Uluslararası	Международный
merkez	центр
seyahat	путешествовать
yorumlar	Комментарии
yapılmış	сделал
gelişme	развитие
rapor	доклад
üye	член
