of	od
että	do
sisään	u
varten	za
on	je
päällä	na
että	da
mennessä	po
Tämä	ovaj
kanssa	s
minä	ja
sinä	vas
se	to
tai	ili
olla	biti
olemme	su
at	na
kaikki	svi
omistaa	imati
Uusi	novi
me	mi
tahtoa	htjeti
Koti	Dom
meille	nas
noin	oko
jos	ako
sivu	stranica
minun	moj
on	ima
Hae	traži
vapaa	besplatno
mutta	ali
meidän	naše
yksi	jedan
muut	drugo
tehdä	čini
tiedot	informacija
aika	vrijeme
hän	on
joka	koji
heidän	njihov
uutiset	vijesti
käyttää	koristiti
siellä	tamo
nähdä	vidjeti
niin	tako
Kuka	tko
verkko	mreža
myös	također
saada	dobiti
pm	pm
näkymä	pogled
C	c
e	e
ensimmäinen	prvi
ollut	bila
olisi	bi
olivat	su
s	a
Kuten	Kao
x	x
kuin	od
löytö	pronaći
hinta	cijena
takaisin	leđa
ylin	vrh
ihmiset	narod
oli	imala
lista	popis
nimi	Ime
vain	samo
vuosi	godina
päivä	dan
osaksi	u
kaksi	dva
terveys	zdravlje
n	n
re	ponovno
käytetty	koristi
mennä	ići
b	b
kestää	posljednji
tehdä	napraviti
niitä	ih
pitäisi	treba
tuote	proizvod
järjestelmä	sistem
lähettää	pošta
hänen	nju
kaupunki	Grad
T	t
politiikka	politika
määrä	broj
tuki	podrška
viesti	poruka
jälkeen	nakon
sitten	zatim
tammikuu	siječanj
hyvä	dobro
d	d
missä	gdje
tiedot	Informacije
oikeudet	prava
kirjat	knjige
korkea	visok
koulu	škola
m	m
kukin	svaki
linkit	linkovi
hän	ona
vuotta	godine
tilata	narudžba
erittäin	vrlo
kirja	knjiga
kohdetta	stavke
yhtiö	društvo
R	r
lukea	čitati
ryhmä	skupina
sukupuoli	seks
monet	mnogi
käyttäjä	korisnik
de	de
sarja	set
yleinen	general
tutkimus	istraživanje
yliopisto	sveučilište
tammikuu	siječanj
posti	pošta
koko	puni
arvostelut	recenzije
ohjelmoida	program
tietää	znati
pelit	igre
tapa	put
päivää	dana
p	p
osa	dio
voisi	mogao
loistava	Sjajno
yhdistynyt	ujedinjen
todellinen	stvaran
f	f
kansainvälinen	međunarodna
keskusta	centar
matkustaa	putovati
kommentit	komentari
tehty	napravljen
kehitys	razvoj
raportti	izvješće
jäsen	član
yksityiskohdat	detalji
linja	crta
ehdot	Pojmovi
ennen	prije
hotellit	hoteli
teki	učinio
lähettää	poslati
oikea	pravo
tyyppi	tip
paikallinen	lokalne
nuo	oni
tulokset	rezultati
toimisto	ured
kansallinen	nacionalna
auto	automobil
design	dizajn
ottaa	uzeti
lähetetty	objavljeno
osoite	adresa
Yhteisö	zajednica
sisällä	unutar
valtiot	Države
haluta	željeti
puhelin	telefon
DVD	DVD
aihe	predmet
välillä	između
foorumi	forum
perhe	obitelj
l	l
pitkä	dugo
w	w
show	pokazati
O	o
jopa	čak
musta	crno
erityinen	poseban
indeksi	indeks
ollessa	biće
naiset	žene
paljon	mnogo
merkki	znak
tiedosto	datoteka
linkki	veza
avata	otvoren
etelä	jug
tapaus	slučaj
projekti	projekt
sivut	stranica
versio	verzija
jakso	odjeljak
oma	vlastiti
talo	kuća
turvallisuus	sigurnosti
g	g
lääni	okrug
amerikkalainen	američki
kuva	foto
peli	igra
jäsenet	članovi
teho	vlast
verkko	mreža
tietokone	Računalo
järjestelmät	sustavi
kolme	tri
paikka	mjesto
pää	kraj
h	h
häntä	mu
kohti	po
pääsy	pristup
ajatella	razmišljati
pohjoinen	sjeverno
voimavarat	resursi
nykyinen	Trenutno
iso	velik
tiedotusvälineet	media
laki	zakon
ohjaus	kontrolirati
vesi	voda
historia	povijest
koko	veličina
henkilökohtainen	osobni
opas	vodič
myymälä	dućan
hakemisto	imenik
muuttaa	promijeniti
valkoinen	bijela
teksti	tekst
pieni	mali
luokitus	klijenata
nopeus	stopa
hallitus	vlada
lapset	djeca
palata	povratak
opiskelijoille	studenti
v	v
tili	račun
ajat	puta
