od	из
do	в
u	в
za	для
je	является
na	на
da	что
po	от
ovaj	это
s	с
ja	я
vas	вы
to	Это
ili	или
biti	быть
su	находятся
na	в
svi	все
imati	иметь
novi	новый
mi	мы
htjeti	будем
Dom	Главная
nas	нас
oko	около
ako	если
stranica	страница
moj	мой
ima	имеет
traži	поиск
besplatno	свободно
ali	но
naše	наш
jedan	один
drugo	Другие
čini	делать
informacija	Информация
vrijeme	время
on	он
koji	который
njihov	их
vijesti	Новости
koristiti	использование
tamo	там
vidjeti	видеть
tako	так
tko	кто
mreža	Web
također	также
dobiti	получить
pm	вечера
pogled	Посмотреть
c	с
e	е
prvi	первый
bila	было
bi	бы
su	мы
a	s
Kao	как
x	Икс
od	чем
pronaći	найти
cijena	цена
leđa	назад
vrh	Вверх
narod	люди
imala	имел
popis	список
Ime	имя
samo	просто
godina	год
dan	день
u	в
dva	два
zdravlje	здоровье
n	N
ponovno	ре
koristi	используемый
ići	идти
b	б
posljednji	последний
napraviti	делать
ih	их
treba	должен
proizvod	продукт
sistem	система
pošta	после
nju	ее
Grad	город
t	T
politika	политика
broj	номер
podrška	поддержка
poruka	сообщение
nakon	после
zatim	тогда
siječanj	январь
dobro	хорошо
d	d
gdje	где
Informacije	Информация
prava	права
knjige	книги
visok	высокая
škola	школа
m	м
svaki	каждый
linkovi	связи
ona	она
godine	лет
narudžba	заказ
vrlo	очень
knjiga	книга
stavke	Предметы
društvo	Компания
r	р
čitati	читать
skupina	группа
seks	секс
mnogi	многие
korisnik	пользователь
de	де
set	задавать
general	Генеральная
istraživanje	исследование
sveučilište	Университет
siječanj	январь
pošta	почта
puni	полный
recenzije	отзывы
program	программа
znati	знать
igre	игры
put	путь
dana	дней
p	п
dio	часть
mogao	мог
Sjajno	Великий
ujedinjen	единый
stvaran	реальный
f	е
međunarodna	Международный
centar	центр
putovati	путешествовать
komentari	Комментарии
napravljen	сделал
razvoj	развитие
izvješće	доклад
član	член
detalji	Детали
crta	линия
Pojmovi	сроки
prije	до
hoteli	отели
učinio	сделал
poslati	Отправить
pravo	правильно
tip	тип
lokalne	местный
oni	те
rezultati	Результаты
ured	офис
nacionalna	национальный
automobil	автомобиль
dizajn	дизайн
uzeti	принимать
objavljeno	отправил
adresa	адрес
zajednica	сообщество
unutar	в
Države	состояния
željeti	хотеть
telefon	Телефон
DVD	DVD
predmet	предмет
između	между
forum	Форум
obitelj	семья
l	L
dugo	длинный
w	вес
pokazati	показать
o	о
čak	даже
crno	черный
poseban	особый
indeks	индекс
biće	являющийся
žene	женщины
mnogo	много
znak	знак
datoteka	файл
veza	ссылка
otvoren	открытый
jug	юг
slučaj	дело
projekt	проект
stranica	страницы
verzija	версия
odjeljak	раздел
vlastiti	своя
kuća	дом
sigurnosti	безопасность
g	г
okrug	округ
američki	американский
foto	Фото
igra	игра
članovi	члены
vlast	мощность
mreža	сеть
Računalo	компьютер
sustavi	системы
tri	три
mjesto	место
kraj	конец
h	час
mu	его
po	в
pristup	доступ
razmišljati	думать
sjeverno	север
resursi	Ресурсы
Trenutno	текущий
velik	большой
media	СМИ
zakon	закон
kontrolirati	контроль
voda	воды
povijest	история
veličina	размер
osobni	личный
vodič	руководство
dućan	магазин
imenik	каталог
promijeniti	изменение
bijela	белый
tekst	текст
mali	маленький
klijenata	рейтинг
stopa	ставка
vlada	правительство
djeca	дети
povratak	вернуть
studenti	студенты
v	v
račun	Счет
puta	раз
nivo	уровень
digitalni	цифровой
profil	профиль
prijašnji	предыдущий
oblik	форма
događaji	Мероприятия
ljubav	люблю
star	старый
Ivan	Джон
glavni	главный
poziv	вызов
slika	образ
