of	od
to	do
in	u
for	za
is	je
on	na
that	da
by	po
this	ovaj
with	s
i	ja
you	vas
it	to
or	ili
be	biti
are	su
at	na
all	svi
have	imati
new	novi
we	mi
will	htjeti
home	Dom
us	nas
about	oko
if	ako
page	stranica
my	moj
has	ima
search	traži
free	besplatno
but	ali
our	naše
one	jedan
other	drugo
do	čini
information	informacija
time	vrijeme
he	on
which	koji
their	njihov
news	vijesti
use	koristiti
there	tamo
see	vidjeti
so	tako
who	tko
web	mreža
also	također
get	dobiti
pm	pm
view	pogled
c	c
e	e
first	prvi
been	bila
would	bi
were	su
s	a
like	Kao
x	x
than	od
find	pronaći
price	cijena
back	leđa
top	vrh
people	narod
had	imala
list	popis
name	Ime
just	samo
year	godina
day	dan
into	u
two	dva
health	zdravlje
n	n
re	ponovno
used	koristi
go	ići
b	b
last	posljednji
make	napraviti
them	ih
should	treba
product	proizvod
system	sistem
post	pošta
her	nju
city	Grad
t	t
policy	politika
number	broj
support	podrška
message	poruka
after	nakon
then	zatim
jan	siječanj
good	dobro
d	d
where	gdje
info	Informacije
rights	prava
books	knjige
high	visok
school	škola
m	m
each	svaki
links	linkovi
she	ona
years	godine
order	narudžba
very	vrlo
book	knjiga
items	stavke
company	društvo
r	r
read	čitati
group	skupina
sex	seks
many	mnogi
user	korisnik
de	de
set	set
general	general
research	istraživanje
university	sveučilište
january	siječanj
mail	pošta
full	puni
reviews	recenzije
program	program
know	znati
games	igre
way	put
days	dana
p	p
part	dio
could	mogao
great	Sjajno
united	ujedinjen
real	stvaran
f	f
international	međunarodna
center	centar
travel	putovati
comments	komentari
made	napravljen
development	razvoj
report	izvješće
member	član
details	detalji
line	crta
terms	Pojmovi
before	prije
hotels	hoteli
did	učinio
send	poslati
right	pravo
type	tip
local	lokalne
those	oni
results	rezultati
office	ured
national	nacionalna
car	automobil
design	dizajn
take	uzeti
posted	objavljeno
address	adresa
community	zajednica
within	unutar
states	Države
want	željeti
phone	telefon
dvd	DVD
subject	predmet
between	između
forum	forum
family	obitelj
l	l
long	dugo
w	w
show	pokazati
o	o
even	čak
black	crno
special	poseban
index	indeks
being	biće
women	žene
much	mnogo
sign	znak
file	datoteka
link	veza
open	otvoren
south	jug
case	slučaj
project	projekt
pages	stranica
version	verzija
section	odjeljak
own	vlastiti
house	kuća
security	sigurnosti
g	g
county	okrug
american	američki
photo	foto
game	igra
members	članovi
power	vlast
network	mreža
computer	Računalo
systems	sustavi
three	tri
place	mjesto
end	kraj
h	h
him	mu
per	po
access	pristup
think	razmišljati
north	sjeverno
resources	resursi
current	Trenutno
big	velik
media	media
law	zakon
control	kontrolirati
water	voda
history	povijest
size	veličina
personal	osobni
guide	vodič
shop	dućan
directory	imenik
change	promijeniti
white	bijela
text	tekst
small	mali
rating	klijenata
rate	stopa
government	vlada
children	djeca
return	povratak
students	studenti
v	v
account	račun
times	puta
level	nivo
digital	digitalni
profile	profil
previous	prijašnji
form	oblik
events	događaji
love	ljubav
old	star
john	Ivan
main	glavni
call	poziv
image	slika
department	odjel
title	titula
non	ne
k	k
y	y
insurance	osiguranje
shall	treba
property	svojstvo
class	klasa
cd	CD
quality	kvaliteta
every	svaki
listing	spisak
content	sadržaj
country	zemlja
little	malo
tools	alat
low	nizak
reply	odgovor
customer	kupac
december	prosinac
compare	usporediti
movies	filmovi
college	koledž
value	vrijednost
article	članak
man	čovjek
jobs	poslovi
j	j
food	hrana
author	Autor
different	drugačiji
u	u
learn	naučiti
sale	prodaja
print	otisak
course	tečaj
job	posao
room	soba
stock	zaliha
training	trening
too	isto
credit	Kreditna
point	točka
science	znanost
men	muškarci
categories	kategorije
west	Zapad
look	izgled
english	Engleski
team	tim
estate	imanje
box	kutija
conditions	Uvjeti
photos	fotografije
gay	homoseksualac
thread	nit
category	kategorija
note	Bilješka
live	uživo
large	veliki
gallery	galerija
table	stol
however	međutim
june	lipanj
october	listopad
november	studeni
market	tržište
library	knjižnica
action	akcijski
start	početak
series	niz
features	značajke
air	zrak
industry	industrija
plan	plan
human	ljudski
yes	Da
second	drugi
hot	vruće
cost	cijena
movie	film
forums	forumi
march	ožujak
la	la
september	rujan
say	reći
going	odlazak
medical	medicinski
friend	prijatelj
dec	prosinca
server	server
application	primjena
staff	osoblje
play	igra
issues	pitanja
april	travanj
users	Korisnici
street	ulica
topic	tema
against	protiv
got	dobio
blog	blog
party	Zabava
payment	plaćanje
equipment	oprema
let	pustiti
programs	programi
legal	pravni
recent	nedavni
park	park
act	čin
problem	problem
red	Crvena
give	dati
memory	memorija
performance	izvođenje
social	socijalni
q	q
story	priča
sell	prodavati
options	opcije
experience	iskustvo
key	ključ
body	tijelo
young	mladi
important	važno
field	polje
few	nekoliko
east	istočno
single	singl
ii	ii
age	dob
club	klub
example	primjer
girls	djevojke
z	z
road	cesta
gift	dar
question	pitanje
ca	ca
hard	teško
pay	platiti
four	četiri
poker	poker
issue	problem
range	opseg
building	zgrada
seller	prodavač
court	sud
february	veljača
result	proizlaziti
light	svjetlo
write	pisati
war	rat
offer	ponuda
blue	plava
groups	grupe
al	al
easy	lako
given	dan
request	zahtjev
fax	faks
china	Kina
making	izrađivanje
picture	slika
needs	potrebe
possible	moguće
month	mjesec
major	glavni
star	zvijezda
future	budućnost
space	prostor
committee	odbor
hand	ruka
sun	Sunce
cards	kartice
london	London
meeting	sastanak
become	postati
child	dijete
keep	zadržati
porn	pornografija
share	udio
similar	sličan
garden	vrt
schools	škola
million	milijuna
added	dodano
reference	upućivanje
companies	tvrtke
baby	dijete
learning	učenje
energy	energija
run	trčanje
delivery	dostava
popular	popularan
term	termin
film	film
stories	priče
put	staviti
journal	časopis
reports	izvještaji
co	ko
try	probati
images	slika
notice	obavijest
god	bog
original	izvornik
head	glava
radio	radio
cell	ćelija
council	vijeće
includes	uključuje
track	staza
discussion	rasprava
archive	arhiva
others	drugi
agreement	sporazum
format	format
society	društvo
months	mjeseci
safety	sigurnosni
friends	prijatelji
sure	Naravno
edition	izdanje
messages	poruke
marketing	Marketing
tell	reći
association	asocijacija
provides	pruža
fun	zabava
already	već
green	zelena
studies	studije
close	Zatvoriti
common	uobičajen
specific	specifično
