of	из
että	в
sisään	в
varten	для
on	является
päällä	на
että	что
mennessä	от
Tämä	это
kanssa	с
minä	я
sinä	вы
se	Это
tai	или
olla	быть
olemme	находятся
at	в
kaikki	все
omistaa	иметь
Uusi	новый
me	мы
tahtoa	будем
Koti	Главная
meille	нас
noin	около
jos	если
sivu	страница
minun	мой
on	имеет
Hae	поиск
vapaa	свободно
mutta	но
meidän	наш
yksi	один
muut	Другие
tehdä	делать
tiedot	Информация
aika	время
hän	он
joka	который
heidän	их
uutiset	Новости
käyttää	использование
siellä	там
nähdä	видеть
niin	так
Kuka	кто
verkko	Web
myös	также
saada	получить
pm	вечера
näkymä	Посмотреть
C	с
e	е
ensimmäinen	первый
ollut	было
olisi	бы
olivat	мы
s	s
Kuten	как
x	Икс
kuin	чем
löytö	найти
hinta	цена
takaisin	назад
ylin	Вверх
ihmiset	люди
oli	имел
lista	список
nimi	имя
vain	просто
vuosi	год
päivä	день
osaksi	в
kaksi	два
terveys	здоровье
n	N
re	ре
käytetty	используемый
mennä	идти
b	б
kestää	последний
tehdä	делать
niitä	их
pitäisi	должен
tuote	продукт
järjestelmä	система
lähettää	после
hänen	ее
kaupunki	город
T	T
politiikka	политика
määrä	номер
tuki	поддержка
viesti	сообщение
jälkeen	после
sitten	тогда
tammikuu	январь
hyvä	хорошо
d	d
missä	где
tiedot	Информация
oikeudet	права
kirjat	книги
korkea	высокая
koulu	школа
m	м
kukin	каждый
linkit	связи
hän	она
vuotta	лет
tilata	заказ
erittäin	очень
kirja	книга
kohdetta	Предметы
yhtiö	Компания
R	р
lukea	читать
ryhmä	группа
sukupuoli	секс
monet	многие
käyttäjä	пользователь
de	де
sarja	задавать
yleinen	Генеральная
tutkimus	исследование
yliopisto	Университет
tammikuu	январь
posti	почта
koko	полный
arvostelut	отзывы
ohjelmoida	программа
tietää	знать
pelit	игры
tapa	путь
päivää	дней
p	п
osa	часть
voisi	мог
loistava	Великий
yhdistynyt	единый
todellinen	реальный
f	е
kansainvälinen	Международный
keskusta	центр
matkustaa	путешествовать
kommentit	Комментарии
tehty	сделал
kehitys	развитие
raportti	доклад
jäsen	член
yksityiskohdat	Детали
linja	линия
ehdot	сроки
ennen	до
hotellit	отели
teki	сделал
lähettää	Отправить
oikea	правильно
tyyppi	тип
paikallinen	местный
nuo	те
tulokset	Результаты
toimisto	офис
kansallinen	национальный
auto	автомобиль
design	дизайн
ottaa	принимать
lähetetty	отправил
osoite	адрес
Yhteisö	сообщество
sisällä	в
valtiot	состояния
haluta	хотеть
puhelin	Телефон
DVD	DVD
aihe	предмет
välillä	между
foorumi	Форум
perhe	семья
l	L
pitkä	длинный
w	вес
show	показать
O	о
jopa	даже
musta	черный
erityinen	особый
indeksi	индекс
ollessa	являющийся
naiset	женщины
paljon	много
merkki	знак
tiedosto	файл
linkki	ссылка
avata	открытый
etelä	юг
tapaus	дело
projekti	проект
sivut	страницы
versio	версия
jakso	раздел
oma	своя
talo	дом
turvallisuus	безопасность
g	г
lääni	округ
amerikkalainen	американский
kuva	Фото
peli	игра
jäsenet	члены
teho	мощность
verkko	сеть
tietokone	компьютер
järjestelmät	системы
kolme	три
paikka	место
pää	конец
h	час
häntä	его
kohti	в
pääsy	доступ
ajatella	думать
pohjoinen	север
voimavarat	Ресурсы
nykyinen	текущий
iso	большой
tiedotusvälineet	СМИ
laki	закон
ohjaus	контроль
vesi	воды
historia	история
koko	размер
henkilökohtainen	личный
opas	руководство
myymälä	магазин
hakemisto	каталог
muuttaa	изменение
valkoinen	белый
teksti	текст
pieni	маленький
luokitus	рейтинг
nopeus	ставка
hallitus	правительство
lapset	дети
palata	вернуть
opiskelijoille	студенты
v	v
tili	Счет
ajat	раз
taso	уровень
digitaalinen	цифровой
profiili	профиль
Edellinen	предыдущий
muoto	форма
Tapahtumat	Мероприятия
rakkaus	люблю
vanha	старый
Johannes	Джон
tärkein	главный
puhelu	вызов
kuva	образ
osasto	отдел
otsikko	заглавие
ei	не
K	К
y	Y
vakuutus	страхование
on	должен
omaisuus	имущество
luokka	класс
CD	CD
laatu	качественный
joka	каждый
listaus	список
pitoisuus	содержание
maa	страна
vähän	немного
Työkalut	инструменты
matala	низкий
Vastaa	Ответить
asiakas	клиент
joulukuu	Декабрь
vertailla	сравнить
elokuvat	кино
college	колледж
arvo	стоимость
artikla	статья
mies	человек
työpaikkaa	работы
j	J
ruoka	питание
kirjailija	автор
eri	другой
U	U
oppia	учить
myynti	продажа
Tulosta	Распечатать
kurssi	курс
Job	работа
huone	комната
kalusto	акции
koulutus	обучение
liian	слишком
luotto	кредит
kohta	точка
tiede	наука
miehet	люди
luokat	категории
länsi	запад
Katso	смотреть
Englanti	английский
tiimi	команда
omaisuus	имущество
laatikko	коробка
olosuhteet	условия
Valokuvat	фото
homo	гей
lanka	нить
kategoria	категория
Huomautus	заметка
elää	жить
suuri	большой
galleria	галерея
pöytä	Таблица
kuitenkin	Однако
kesäkuu	июнь
lokakuu	октябрь
marraskuu	ноябрь
markkinoida	рынок
kirjasto	библиотека
toiminta	действие
alkaa	Начало
sarja	серии
ominaisuudet	функции
ilma	воздух
ala	промышленность
suunnitelma	план
ihmisen	человек
Joo	да
toinen	второй
kuuma	горячий
kustannus	Стоимость
elokuva	кино
foorumit	форумы
maaliskuu	Март
la	ля
syyskuu	сентябрь
sanoa	сказать
menossa	собирается
lääketieteellinen	медицинская
ystävä	друг
joulukuu	декабрь
palvelin	сервер
hakemus	заявление
henkilöstö	сотрудники
pelata	играть
kysymykset	вопросы
huhtikuu	апрель
käyttäjät	пользователи
katu	улица
aihe	тема
vastaan	против
sai	получил
blogi	блог
juhla	вечеринка
maksu	оплата
laitteet	оборудование
antaa	позволять
ohjelmat	программы
oikeudellinen	правовой
viimeaikainen	недавний
pysäköidä	парк
toimia	акт
ongelma	проблема
punainen	красный
antaa	дайте
muisti	Память
esitys	представление
sosiaalinen	Социальное
q	Q
tarina	история
myydä	продавать
vaihtoehtoja	опции
kokea	опыт
avain	ключ
ruumis	тело
nuori	молодой
tärkeä	важный
ala	поле
harvat	мало
itään	восток
yksittäinen	Один
ii	б
ikä	возраст
klubi	клуб
esimerkki	пример
tytöt	девочки
z	Z
tie	Дорога
lahja	подарок
kysymys	вопрос
ca	Калифорния
kova	жесткий
maksaa	платить
neljä	четыре
pokeri	покер
ongelma	вопрос
alue	ассортимент
rakennus	здание
myyjä	продавец
tuomioistuin	суд
helmikuu	февраль
tulos	результат
valo	легкий
kirjoittaa	записывать
sota	война
tarjous	предлагает
sininen	синий
ryhmät	группы
ai	аль
helppo	легко
tietty	данный
pyyntö	запрос
faksi	факс
Kiina	Китай
tehdä	изготовление
kuva	картина
tarpeisiin	потребности
mahdollinen	возможное
kuukausi	месяц
suuri	главный
tähti	звезда
tulevaisuus	будущее
tila	пространство
komitea	комитет
käsi	рука
aurinko	солнце
kortit	карты
Lontoo	Лондон
tapaaminen	встреча
tulla	стали
lapsi	ребенок
pitää	держать
porno	порно
Jaa	доля
samankaltainen	аналогичный
puutarha	сад
koulut	школы
miljoona	миллиона
lisättyä	добавленной
viite	Справка
yritykset	компании
vauva	детка
oppiminen	обучение
energia	энергия
juosta	бег
toimitus	Доставка
suosittu	популярный
termi	срок
elokuva	фильм
tarinoita	истории
laittaa	положил
päiväkirja	журнал
raporttien	отчеты
co	Колорадо
yrittää	пытаться
kuvien	изображений
ilmoitus	уведомление
Jumala	Бог
alkuperäinen	оригинал
pää	глава
radio	радио
solu	клетка
neuvosto	совет
sisältää	включает
seurata	трек
keskustelu	обсуждение
arkisto	архив
toiset	другие
sopimus	соглашение
muoto	формат
yhteiskunta	общество
kuukaudet	месяцы
turvallisuus	безопасность
ystävät	друзья
varma	конечно
painos	издание
viestien	Сообщения
markkinointi	маркетинг
kertoa	рассказать
yhdistys	ассоциация
tarjoaa	обеспечивает
hauska	весело
jo	уже
vihreä	зеленый
opinnot	исследования
kiinni	Закрыть
yhteinen	общий
erityinen	конкретный
